Using cpu device

🎯 Start training block 0
---------------------------------
| rollout/           |          |
Power hit, penalty applied (-0.2).
Power hit, penalty applied (-0.2).
Player is jumping, penalty applied (-0.3).
Player is jumping, penalty applied (-0.3).
Power hit, penalty applied (-0.2).
Ball touching ground on opponent's side, reward applied (+70).
💾 Saving model at block 72

🎯 Start training block 73
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 68.7     |
|    ep_rew_mean     | 21.4     |
| time/              |          |
|    fps             | 620      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 2244608  |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 65          |
|    ep_rew_mean          | 25.5        |
| time/                   |             |
|    fps                  | 560         |
|    iterations           | 2           |
|    time_elapsed         | 7           |
|    total_timesteps      | 2246656     |
| train/                  |             |
|    approx_kl            | 0.019989505 |
|    clip_fraction        | 0.121       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.898      |
|    explained_variance   | 0.584       |
|    learning_rate        | 0.0003      |
|    loss                 | 172         |
|    n_updates            | 10960       |
|    policy_gradient_loss | -0.00646    |
|    value_loss           | 485         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 67.1       |
|    ep_rew_mean          | 21.4       |
| time/                   |            |
|    fps                  | 536        |
|    iterations           | 3          |
|    time_elapsed         | 11         |
|    total_timesteps      | 2248704    |
| train/                  |            |
|    approx_kl            | 0.05311372 |
|    clip_fraction        | 0.126      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.917     |
|    explained_variance   | 0.473      |
|    learning_rate        | 0.0003     |
|    loss                 | 217        |
|    n_updates            | 10970      |
|    policy_gradient_loss | -0.00447   |
|    value_loss           | 545        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 70.1        |
|    ep_rew_mean          | 23.6        |
| time/                   |             |
|    fps                  | 531         |
|    iterations           | 4           |
|    time_elapsed         | 15          |
|    total_timesteps      | 2250752     |
| train/                  |             |
|    approx_kl            | 0.016393378 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.891      |
|    explained_variance   | 0.579       |
|    learning_rate        | 0.0003      |
|    loss                 | 235         |
|    n_updates            | 10980       |
|    policy_gradient_loss | -0.00491    |
|    value_loss           | 519         |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 70.3      |
|    ep_rew_mean          | 15.6      |
| time/                   |           |
|    fps                  | 527       |
|    iterations           | 5         |
|    time_elapsed         | 19        |
|    total_timesteps      | 2252800   |
| train/                  |           |
|    approx_kl            | 0.0403329 |
|    clip_fraction        | 0.178     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.894    |
|    explained_variance   | 0.575     |
|    learning_rate        | 0.0003    |
|    loss                 | 183       |
|    n_updates            | 10990     |
|    policy_gradient_loss | 0.0114    |
|    value_loss           | 494       |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 69.4        |
|    ep_rew_mean          | 26.3        |
| time/                   |             |
|    fps                  | 523         |
|    iterations           | 6           |
|    time_elapsed         | 23          |
|    total_timesteps      | 2254848     |
| train/                  |             |
|    approx_kl            | 0.013184063 |
|    clip_fraction        | 0.0929      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.898      |
|    explained_variance   | 0.565       |
|    learning_rate        | 0.0003      |
|    loss                 | 226         |
|    n_updates            | 11000       |
|    policy_gradient_loss | -0.00434    |
|    value_loss           | 614         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 65.3       |
|    ep_rew_mean          | 30.1       |
| time/                   |            |
|    fps                  | 521        |
|    iterations           | 7          |
|    time_elapsed         | 27         |
|    total_timesteps      | 2256896    |
| train/                  |            |
|    approx_kl            | 0.04018567 |
|    clip_fraction        | 0.117      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.885     |
|    explained_variance   | 0.473      |
|    learning_rate        | 0.0003     |
|    loss                 | 428        |
|    n_updates            | 11010      |
|    policy_gradient_loss | -0.00297   |
|    value_loss           | 543        |
----------------------------------------
----------------------------------------
